loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_bleu,eval_chrf,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second
6.8081,10.3125,4.8342834416014845e-05,0.06628442647399993,500,,,,,,,
3.9251,7.8125,4.66856688320297e-05,0.13256885294799986,1000,,,,,,,
3.272,6.84375,4.5028503248044545e-05,0.1988532794219998,1500,,,,,,,
3.0077,7.28125,4.3371337664059394e-05,0.2651377058959997,2000,,,,,,,
2.902,5.4375,4.1714172080074244e-05,0.3314221323699997,2500,,,,,,,
2.8381,7.75,4.005700649608909e-05,0.3977065588439996,3000,,,,,,,
2.8226,7.5,3.839984091210394e-05,0.46399098531799954,3500,,,,,,,
2.788,3.5625,3.6742675328118786e-05,0.5302754117919994,4000,,,,,,,
2.7655,7.3125,3.5085509744133636e-05,0.5965598382659995,4500,,,,,,,
2.8021,4.65625,3.3428344160148486e-05,0.6628442647399994,5000,,,,,,,
2.7908,5.78125,3.177117857616333e-05,0.7291286912139993,5500,,,,,,,
2.7527,6.71875,3.011401299217818e-05,0.7954131176879992,6000,,,,,,,
2.7711,6.0,2.8456847408193028e-05,0.8616975441619992,6500,,,,,,,
2.7756,6.59375,2.6799681824207878e-05,0.9279819706359991,7000,,,,,,,
2.7956,7.9375,2.5142516240222724e-05,0.994266397109999,7500,,,,,,,
,,,0.999966857786763,7543,2.559032917022705,0.7910759649012116,13.134605528220602,33.25022368028631,3169.2477,1.058,1.058
2.8182,7.28125,2.3485350656237573e-05,1.0605508235839989,8000,,,,,,,
2.8045,6.25,2.1828185072252423e-05,1.1268352500579988,8500,,,,,,,
2.7569,6.65625,2.0171019488267266e-05,1.1931196765319987,9000,,,,,,,
2.731,7.09375,1.8513853904282116e-05,1.2594041030059988,9500,,,,,,,
2.7807,6.59375,1.6856688320296965e-05,1.3256885294799987,10000,,,,,,,
2.7865,6.6875,1.5199522736311813e-05,1.3919729559539986,10500,,,,,,,
2.8396,5.34375,1.3542357152326663e-05,1.4582573824279985,11000,,,,,,,
2.7579,7.5,1.188519156834151e-05,1.5245418089019984,11500,,,,,,,
2.7492,5.90625,1.0228025984356357e-05,1.5908262353759985,12000,,,,,,,
2.7547,6.15625,8.570860400371205e-06,1.6571106618499982,12500,,,,,,,
2.7705,6.65625,6.913694816386054e-06,1.7233950883239983,13000,,,,,,,
2.796,6.5,5.256529232400901e-06,1.7896795147979982,13500,,,,,,,
2.7944,6.46875,3.5993636484157497e-06,1.8559639412719982,14000,,,,,,,
2.827,7.53125,1.942198064430598e-06,1.922248367745998,14500,,,,,,,
2.7769,6.6875,2.850324804454461e-07,1.988532794219998,15000,,,,,,,
,,,1.999933715573526,15086,2.557976007461548,0.7568456374201517,13.145077708509856,33.561586638830896,3203.7716,1.047,1.047
